1.1 People in business or politics often exploit language to gain power or status.;	商业人士 和 政治人士 经常 挖掘语言的潜力来获取权力和地位。
1.2 In interviews, people usually use mainstream language instead of slang.;	 在采访中，人们会用主流语言而不是俚语。
1.3 Some English teachers think learning slang is not a priority. They prefer to teach standard English.;一些英语老师认为学习俚语不是一件优先考虑的事，他们更喜欢教标准英语。
1.4 Language changes from decade to decade. Many expressions that were fashionable in the 1950s were out of style in the 1960s.;	 语言随时间在变，许多在50年代流行的表达方式，到了60年代就落伍了。
1.5 The two people were close friends, so they used colloquial language.;	 这两个人是亲密的朋友，所以会使用口头语。
1.6 The teacher couldn't tolerate the student's bad language, so he ordered her to leave the room.; 这个老师不能忍受这个学生糟糕的语言，所以他命令她离开教室。
1.7 Slang is not accepted in all situations because it deviates from standard, more formal expressions.;俗语并不是在任何场合都被接受，因为俗语与标准的、更正式的表达方式有区别。
1.8 Even today, very conservative people often persist with the idea that slang is unacceptable in all situations, even informal ones.;	 即使今天，非常保守的人经常坚持俗语不能被用于任何场合，即使在非正式的场合。
1.9 We construct our own style of speaking based on what we've heard throughout our lives.;	 我们基于我们在生活中所听到的话来创立自己说话的方式。
1.10 In some societies, language is associated with social class and education. People judge one's level in society by the kind of language used.;	 在一些社会，语言和人的社会阶层以及教育程度相联系，人们通过语言来判断一个人的阶层。
1.11 The use of language is a complex phenomenon. Linguists, sociologists, anthropologists, and psychologists are trying to understand it better.;	 语言的使用是一个很复杂的现象，语言学家、社会学家、人类学家、心理学家都尝试更好地理解这个现象。
1.12 Many slang expressions that are acceptable in informal situations are taboo in more formal contexts.;	 许多在非正式场合中被接受的俗语，在正式场合却是禁忌。
2.1 Before performing the experiment, the researcher tried to anticipate any problems that might occur.;	在做实验之前，研究员尽力去预计到所有可能出现的问题。
2.2 People may perceive choosing the slowest line at the supermarket as bad luck, but actually luck has nothing to do with it.;	人们也许认为在超市里选择了最慢的队伍是因为运气不好，但是事实上运气和这没有关系。
2.3 As a car increases speed, the tires require less time to make one complete revolution.;	随着车速的增加，轮胎需要更少的时间运行一周。
2.4 The probability of winning the lottery is extremely low because so many people buy tickets.;	之所以中彩票的概率极其低，是因为有许多人买。
2.5 Most events are not random, they are part of a larger pattern or plan.;	大多数事情不是随机的，它们是一个更大的模式或者计划的一部分。
